name,person,CID
Neil Abercrombie,400001,N00007665
Gary Ackerman,400003,N00001143
Robert Aderholt,400004,N00003028
Todd Akin,400005,N00009677
Rodney Alexander,400006,N00025464
Robert Andrews,400008,N00000826
Joe Baca,400009,N00007089
Spencer Bachus,400010,N00008091
Brian Baird,400011,N00007936
Tammy Baldwin,400013,N00004367
James “J. Gresham” Barrett,400016,-1
Roscoe Bartlett,400017,N00002017
Joe Barton,400018,N00005656
Xavier Becerra,400021,N00009774
Shelley Berkley,400024,N00009818
Howard Berman,400025,N00008094
Robert Berry,400026,-1
Judy Biggert,400027,N00004762
Rob Bishop,400029,N00025292
Sanford Bishop,400030,N00002674
Timothy Bishop,400031,N00025413
Marsha Blackburn,400032,N00003105
Earl Blumenauer,400033,N00007727
Roy Blunt,400034,N00005195
John Boehner,400036,N00003675
Jo Bonner,400038,N00025330
Mary Bono Mack,400039,-1
John Boozman,400040,N00013873
Leonard Boswell,400042,N00004208
Frederick Boucher,400043,-1
Allen Boyd,400044,N00002743
Kevin Brady,400046,N00005883
Robert Brady,400047,N00001619
Corrine Brown,400048,N00002713
Henry Brown,400049,N00002428
Virginia Brown-Waite,400051,-1
Michael Burgess,400052,N00025219
Dan Burton,400055,N00000010
Stephen Buyer,400056,-1
Ken Calvert,400057,N00007099
Dave Camp,400058,N00008086
Eric Cantor,400060,N00013131
Shelley Capito,400061,-1
Lois Capps,400062,N00007232
Michael Capuano,400063,N00000267
Dennis Cardoza,400065,N00024874
John Carter,400068,N00032082
Michael Castle,400070,N00009775
Lacy Clay,400074,-1
James Clyburn,400075,N00002408
Howard Coble,400076,N00002247
Tom Cole,400077,N00025726
John Conyers,400080,N00004029
Jim Cooper,400081,N00003132
Jerry Costello,400082,N00004956
Ander Crenshaw,400086,N00012739
Joseph Crowley,400087,N00001127
John Culberson,400089,N00009738
Elijah Cummings,400090,N00001971
Artur Davis,400092,N00009570
Danny Davis,400093,N00004884
Lincoln Davis,400096,N00003264
Susan Davis,400097,N00009604
Nathan Deal,400099,N00002610
Peter DeFazio,400100,N00007781
Diana DeGette,400101,N00006134
William Delahunt,400102,-1
Rosa DeLauro,400103,N00000615
Lincoln Diaz-Balart,400107,N00002872
Mario Diaz-Balart,400108,N00025337
Norman Dicks,400109,-1
John Dingell,400110,N00001783
Lloyd Doggett,400111,N00006023
Michael Doyle,400114,-1
David Dreier,400115,N00006932
John Duncan,400116,N00032915
Thomas Edwards,400118,-1
Vernon Ehlers,400119,N00004166
Jo Ann Emerson,400121,-1
Eliot Engel,400122,N00001003
Anna Eshoo,400124,N00007335
Bob Etheridge,400125,N00002269
Sam Farr,400129,N00007312
Chaka Fattah,400130,N00001746
Bob Filner,400133,N00007033
Jeff Flake,400134,N00009573
Randy Forbes,400137,N00013799
Barney Frank,400140,N00000275
Trent Franks,400141,N00006423
Rodney Frelinghuysen,400142,N00000684
Elton Gallegly,400144,N00007231
Scott Garrett,400145,N00000743
Jim Gerlach,400147,N00025025
Phil Gingrey,400151,N00024760
Charles Gonzalez,400152,-1
Bob Goodlatte,400154,N00009154
Barton Gordon,400155,-1
Kay Granger,400157,N00008799
Sam Graves,400158,N00013323
Gene Green,400160,N00005870
Raúl Grijalva,400162,-1
Luis Gutiérrez,400163,-1
Ralph Hall,400165,N00005645
Jane Harman,400166,N00006750
Alcee Hastings,400170,N00002884
Doc Hastings,400171,N00009157
Jeb Hensarling,400175,N00024922
Walter Herger,400176,-1
Baron Hill,400177,N00003875
Maurice Hinchey,400178,N00001222
Rubén Hinojosa,400179,-1
Peter Hoekstra,400182,N00004155
Tim Holden,400183,N00001469
Rush Holt,400184,N00000860
Michael Honda,400185,-1
Steny Hoyer,400189,N00001821
Jay Inslee,400193,N00001725
Steve Israel,400195,N00013345
Darrell Issa,400196,N00007017
Jesse Jackson,400198,N00012457
Sheila Jackson Lee,400199,-1
Eddie Johnson,400204,-1
Sam Johnson,400206,N00008028
Timothy Johnson,400207,N00012890
