300001,HI,Yea,Sen. Daniel Akaka,Democrat
300002,TN,Yea,Sen. Lamar Alexander,Republican
300005,MT,Yea,Sen. Max Baucus,Democrat
300009,NM,Yea,Sen. Jeff Bingaman,Democrat
300011,CA,Yea,Sen. Barbara Boxer,Democrat
300018,WA,Yea,Sen. Maria Cantwell,Democrat
300019,DE,Yea,Sen. Thomas Carper,Democrat
300021,GA,Yea,Sen. Saxby Chambliss,Republican
300023,MS,Yea,Sen. Thad Cochran,Republican
300025,ME,Yea,Sen. Susan Collins,Republican
300026,ND,Yea,Sen. Kent Conrad,Democrat
300027,TX,Yea,Sen. John Cornyn,Republican
300030,ID,Yea,Sen. Michael Crapo,Republican
300038,IL,Yea,Sen. Richard Durbin,Democrat
300040,NV,Yea,Sen. John Ensign,Republican
300041,WY,Yea,Sen. Michael Enzi,Republican
300043,CA,Not Voting,Sen. Dianne Feinstein,Democrat
300047,SC,Yea,Sen. Lindsey Graham,Republican
300048,IA,Yea,Sen. Charles Grassley,Republican
300051,IA,Yea,Sen. Thomas Harkin,Democrat
300052,UT,Yea,Sen. Orrin Hatch,Republican
300054,TX,Yea,Sen. Kay Hutchison,Republican
300055,OK,Yea,Sen. James Inhofe,Republican
300056,HI,Yea,Sen. Daniel Inouye,Democrat
300058,SD,Yea,Sen. Tim Johnson,Democrat
300060,MA,Yea,Sen. John Kerry,Democrat
300061,WI,Yea,Sen. Herbert Kohl,Democrat
300062,AZ,Yea,Sen. Jon Kyl,Republican
300063,LA,Yea,Sen. Mary Landrieu,Democrat
300064,NJ,Yea,Sen. Frank Lautenberg,Democrat
300065,VT,Yea,Sen. Patrick Leahy,Democrat
300066,MI,Yea,Sen. Carl Levin,Democrat
300067,CT,Yea,Sen. Joseph Lieberman,Independent
300070,IN,Yea,Sen. Richard Lugar,Republican
300071,AZ,Yea,Sen. John McCain,Republican
300072,KY,Yea,Sen. Mitch McConnell,Republican
300073,MD,Yea,Sen. Barbara Mikulski,Democrat
300075,AK,Yea,Sen. Lisa Murkowski,Republican
300076,WA,Yea,Sen. Patty Murray,Democrat
300077,NE,Yea,Sen. Ben Nelson,Democrat
300078,FL,Yea,Sen. Bill Nelson,Democrat
300080,AR,Yea,Sen. Mark Pryor,Democrat
300081,RI,Yea,Sen. John Reed,Democrat
300082,NV,Yea,Sen. Harry Reid,Democrat
300083,KS,Yea,Sen. Pat Roberts,Republican
300084,WV,Not Voting,Sen. John Rockefeller,Democrat
300087,NY,Yea,Sen. Charles Schumer,Democrat
300088,AL,Yea,Sen. Jefferson Sessions,Republican
300089,AL,Yea,Sen. Richard Shelby,Republican
300091,ME,Yea,Sen. Olympia Snowe,Republican
300093,MI,Yea,Sen. Debbie Stabenow,Democrat
300100,OR,Yea,Sen. Ron Wyden,Democrat
400034,MO,Yea,Sen. Roy Blunt,Republican
400040,AR,Yea,Sen. John Boozman,Republican
400050,OH,Yea,Sen. Sherrod Brown,Democrat
400054,NC,Yea,Sen. Richard Burr,Republican
400064,MD,Yea,Sen. Benjamin Cardin,Democrat
400105,SC,Yea,Sen. Jim DeMint,Republican
400194,GA,Yea,Sen. John Isakson,Republican
400222,IL,Yea,Sen. Mark Kirk,Republican
400272,NJ,Yea,Sen. Robert Menéndez,Democrat
400284,KS,Yea,Sen. Jerry Moran,Republican
400325,OH,Yea,Sen. Robert Portman,Republican
400357,VT,Yea,Sen. Bernard Sanders,Independent
400408,PA,Yea,Sen. Patrick Toomey,Republican
400412,CO,Yea,Sen. Mark Udall,Democrat
400413,NM,Yea,Sen. Tom Udall,Democrat
400418,LA,Yea,Sen. David Vitter,Republican
400432,MS,Yea,Sen. Roger Wicker,Republican
400546,SD,Yea,Sen. John Thune,Republican
400576,OK,Yea,Sen. Thomas Coburn,Republican
402675,IN,Yea,Sen. Daniel Coats,Republican
412223,NY,Yea,Sen. Kirsten Gillibrand,Democrat
412242,MN,Yea,Sen. Amy Klobuchar,Democrat
412243,MO,Yea,Sen. Claire McCaskill,Democrat
412244,MT,Yea,Sen. Jon Tester,Democrat
412246,PA,Yea,Sen. Robert Casey,Democrat
412247,RI,Yea,Sen. Sheldon Whitehouse,Democrat
412248,TN,Yea,Sen. Bob Corker,Republican
412249,VA,Not Voting,Sen. Jim Webb,Democrat
412251,WY,Yea,Sen. John Barrasso,Republican
412320,NE,Yea,Sen. Mike Johanns,Republican
412321,VA,Yea,Sen. Mark Warner,Democrat
412322,ID,Yea,Sen. James Risch,Republican
412323,NH,Yea,Sen. Jeanne Shaheen,Democrat
412324,NC,Yea,Sen. Kay Hagan,Democrat
412325,OR,Yea,Sen. Jeff Merkley,Democrat
412326,AK,Yea,Sen. Mark Begich,Democrat
412330,CO,Yea,Sen. Michael Bennet,Democrat
412378,MN,Yea,Sen. Alan Franken,Democrat
412384,MA,Yea,Sen. Scott Brown,Republican
412390,DE,Yea,Sen. Chris Coons,Democrat
412391,WV,Yea,Sen. Joe Manchin,Democrat
412490,CT,Yea,Sen. Richard Blumenthal,Democrat
412491,FL,Yea,Sen. Marco Rubio,Republican
412492,KY,Yea,Sen. Rand Paul,Republican
412493,NH,Yea,Sen. Kelly Ayotte,Republican
412494,ND,Yea,Sen. John Hoeven,Republican
412495,UT,Yea,Sen. Mike Lee,Republican
412496,WI,Yea,Sen. Ron Johnson,Republican
